"Job","Location","Salary","Status","Experience","Perusahaan"
"Data Analyst","Jakarta","5000000","Full-Time","1","PT. Global Bintang Timur Ekspress (J&T Express Jakarta)"
"Data Analyst","Jakarta","4650000","Contract","1","PT. Mega Harapan Mulia (Kelas.com)"
"Data Analyst","Jakarta","30000000","Full-Time","5","Shox Rumahan"
"Data Analyst","Surabaya","5000000","Full-Time","1","PT Bimasakti Multi Sinergi"
"Data Analyst","Jakarta","25000000","Full-Time","3","Emos Global Digital"
"Data Analyst","Jakarta","4500000","Full-Time","1","PT. Ritra Media Distribusi"
"Data Analyst","Yogyakarta","2500000","Full-Time","1","PT. KODE NIAGA TAMA"
"Data Analyst","Jakarta","9000000","Full-Time","2","PT. Tobe Aviasi Indonesia (TBM Aviation)"
"Data Analyst","Jakarta","2000000","Contract","1","Qiscus Pte Ltd"
"Data Analyst","Jakarta","1000000","Contract","1","Red Communication Indonesia"
"Data Analyst","Jakarta","6000000","Full-Time","1","PT. Casa Verde Indonesia (OT Group)"
"Data Analyst","Jakarta","9000000","Full-Time","2","Abishar Technologies"
"Data Analyst","Denpasar","11000000","Full-Time","2","Nucleusbi"
"Data Analyst","Bandung","6000000","Full-Time","1","idsolutions.id"
"Data Analyst","Jakarta","12500000","Full-Time","2","Id/x Partners"
"Data Analyst","Jakarta","4500000","Full-Time","1","PT. Asuransi Jiwa Syariah AL AMIN"
"Data Analyst","Jakarta","1500000","Full-Time","1","PT Tennova Cipta Inatech"
"Data Analyst","Jakarta","4000000","Full-Time","1","Hisense Indonesia"
"Data Analyst","Jakarta","4000000","Full-Time","1","Pt. Kamera Pengintai Indonesia"
"Data Analyst","Denpasar","12000000","Full-Time","3","KOPERNIK"
"Data Scientist","Jakarta","15000000","Full-Time","3","Vlink Inc"
"Data Scientist","Jakarta","8500000","Contract","3","Vlink Inc"
"Data Scientist","Jakarta","15000000","Full-Time","2","KAPTECH CONSULTING PTE LTD"
"Data Scientist","Jakarta","15000000","Full-Time","5","IlmuOne Data"
"Data Scientist","Jakarta","35000000","Full-Time","7","IlmuOne Data"
"Data Scientist","Jakarta","30000000","Full-Time","3","Harris Corrections"
"Data Scientist","Jakarta","20000000","Contract","3","Harris Corrections"
"Data Scientist","Jakarta","13000000","Full-Time","3","PT Movus Technologies Indonesia"
"Data Scientist","Jakarta","45000000","Full-Time","4","DELOS Aqua"
"Data Scientist","Jakarta","5000000","Full-Time","1","PT. Kwadran Lima Mitra Kaya Solusi"
"Data Scientist","Jakarta","8000000","Full-Time","2","IlmuOne Data"
"Data Scientist","Jakarta","5000000","Contract","2","IlmuOne Data"
"Data Scientist","Jakarta","30000000","Full-Time","5","Reeracoen Indonesia"
"Data Scientist","Yogyakarta","2500000","Full-Time","1","PT Widya Informasi Nusantara"
"Data Scientist","Yogyakarta","5000000","Full-Time","2","Widya Matador"
"Data Scientist","Yogyakarta","2500000","Contract","1","Widya Matador"
"Data Scientist","Jakarta","10000000","Full-Time","3","Pasar Polis"
"Data Scientist","Jakarta","12000000","Full-Time","4","ELABRAM SYSTEMS"
"Data Scientist","Jakarta","8000000","Full-Time","1","PT. Neo Esensial Teknologi"
"Data Scientist","Batam","3500000","Full-Time","1","PT. Pundi Mas Berjaya"
"Data Scientist","Jakarta","5000000","Full-Time","1","PT. Java Energy Semesta"
